timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/06/04 15:09:07.742,47,/WebTours/images/flights.gif,200,OK,UC_03 3-3,bin,true,,1023,563,4,8,http://localhost:1080/WebTours/images/flights.gif,47,0,0
2024/06/04 15:09:07.789,1,/WebTours/images/itinerary.gif,200,OK,UC_03 3-3,bin,true,,1030,565,4,8,http://localhost:1080/WebTours/images/itinerary.gif,1,0,0
2024/06/04 15:09:07.790,1,/WebTours/images/in_home.gif,200,OK,UC_03 3-3,bin,true,,985,563,4,8,http://localhost:1080/WebTours/images/in_home.gif,1,0,0
2024/06/04 15:09:07.791,1,/WebTours/images/signoff.gif,200,OK,UC_03 3-3,bin,true,,1048,563,4,8,http://localhost:1080/WebTours/images/signoff.gif,1,0,0
2024/06/04 15:08:59.349,446,[UC_XX]_Login,200,"Number of samples in transaction : 7, number of failing samples : 0",UC_03 3-4,,true,,7859,5101,4,8,null,0,8002,1
2024/06/04 15:09:07.349,96,/cgi-bin/login.pl,200,OK,UC_03 3-4,text,true,,865,1044,4,8,http://localhost:1080/cgi-bin/login.pl,82,0,1
2024/06/04 15:09:07.445,147,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-4,text,true,,1749,904,4,8,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,144,0,0
2024/06/04 15:09:07.593,153,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-4,text,true,,1159,899,4,8,http://localhost:1080/cgi-bin/login.pl?intro=true,145,0,0
2024/06/04 15:09:07.747,47,/WebTours/images/flights.gif,200,OK,UC_03 3-4,bin,true,,1023,563,4,8,http://localhost:1080/WebTours/images/flights.gif,47,0,0
2024/06/04 15:09:07.794,1,/WebTours/images/itinerary.gif,200,OK,UC_03 3-4,bin,true,,1030,565,4,8,http://localhost:1080/WebTours/images/itinerary.gif,1,0,0
2024/06/04 15:09:07.795,1,/WebTours/images/in_home.gif,200,OK,UC_03 3-4,bin,true,,985,563,4,8,http://localhost:1080/WebTours/images/in_home.gif,1,0,0
2024/06/04 15:09:07.796,1,/WebTours/images/signoff.gif,200,OK,UC_03 3-4,bin,true,,1048,563,4,8,http://localhost:1080/WebTours/images/signoff.gif,1,0,0
2024/06/04 15:08:59.286,510,[UC_XX]_Login,200,"Number of samples in transaction : 7, number of failing samples : 0",UC_02 2-1,,true,,7859,5101,2,8,null,0,8005,1
2024/06/04 15:09:07.288,119,/cgi-bin/login.pl,200,OK,UC_02 2-1,text,true,,865,1044,2,8,http://localhost:1080/cgi-bin/login.pl,97,0,1
2024/06/04 15:09:07.407,166,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_02 2-1,text,true,,1749,904,2,8,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,146,0,0
2024/06/04 15:09:07.574,176,/cgi-bin/login.pl?intro=true,200,OK,UC_02 2-1,text,true,,1159,899,2,8,http://localhost:1080/cgi-bin/login.pl?intro=true,167,0,0
2024/06/04 15:09:07.751,47,/WebTours/images/flights.gif,200,OK,UC_02 2-1,bin,true,,1023,563,2,8,http://localhost:1080/WebTours/images/flights.gif,47,0,0
2024/06/04 15:09:07.798,1,/WebTours/images/itinerary.gif,200,OK,UC_02 2-1,bin,true,,1030,565,2,8,http://localhost:1080/WebTours/images/itinerary.gif,1,0,0
2024/06/04 15:09:07.799,1,/WebTours/images/in_home.gif,200,OK,UC_02 2-1,bin,true,,985,563,2,8,http://localhost:1080/WebTours/images/in_home.gif,1,0,0
2024/06/04 15:09:07.800,0,/WebTours/images/signoff.gif,200,OK,UC_02 2-1,bin,true,,1048,563,2,8,http://localhost:1080/WebTours/images/signoff.gif,0,0,0
